stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
BZN46,Monteoru 2,,45.12964397544117,26.645516359943716,6
BZN47,Gura Saratii - Scoala,,45.11496369880663,26.652249599344582,5
BZN48,Gura Saratii - Intersectie,,45.1136188,26.653737000000003,5
BZN49,Nenciulesti,La Burada,45.122201899999986,26.630137800000007,6
BZN50,Valea Adanca,,45.11495541,26.630684670000004,6
BZN51,Izvorul Dulce -  Scoala,,45.10993490000001,26.63337350000001,5
BZN52,La Crama,,45.11080709999999,26.648257100000006,5
BZN53,La Grigoroiu,,45.11654689999999,26.654122000000008,5
BZN54,Merei - La Banu,,45.11951590000002,26.6580953,4
BZN55,Merei - La Bulimac,,45.1290378,26.669014,3
BZN57,Ograzile  Berbecel Fac.,,45.12147819999999,26.678439800000003,3
BZN58,Ograzile - Fac,,45.11842979999999,26.681326300000002,3
BZN59,Ograzile -  Lazaroiu - Fac,,45.115988499999986,26.683694000000006,3
BZN60,Savalog - Facultativ,,45.11802689999999,26.691383900000005,3
BZN61,Lipia - Scoala,Lipia,45.13930209999999,26.733494400000005,2
BZN62,Lipia - La Costea,,45.14037709999999,26.736978100000005,2
BZN63,Lipia - La Puiu,,45.13548280000002,26.736092000000006,2
BZN64,Lipia - La Fusache,,45.130330300000004,26.738347100000002,2
BZN71,Vernesti - La Gogoasa,,45.2077086,26.7206321,3
BZN73,Vernesti - Vulcanizare - retur,,45.205422,26.731034900000004,3
BZN74,Vernesti - Troita - (retur),,45.20267033934778,26.73514167515266,3
BZN75,Vernesti - Moara,,45.19804669999999,26.7398054,3
BZN76,Vernesti - Pepiniera,,45.1938233,26.74291450000001,3
BZN77,Vernesti - Ciopala,,45.19013299999999,26.746412700000004,3
BZN78,Vernesti - Antic - tur,,45.18662009999999,26.7492314,3
BZNN01,Intersectie Lipia Fac,,45.11893944070608,26.741201790507706,2
BZR1,Robeasca - Biserica,Capat de linie,45.16016077463547,27.143877712208514,7
BZR10,Beilic Centru,,45.0853171,27.0135431,4
BZR11,Sageata - Remiza,Capat de linie 21B,45.0953259,26.9921813,4
BZR12,Sageata - Centru,,45.0992723,26.9842884,4
BZR13,Sageata - Dispensar,,45.1033809,26.9756705,4
BZR14,Bordusani Centru,,45.108593,26.9656122,3
BZR15,Dambroca - Moara Retur,,45.1155673,26.9546706,3
BZR16,Dambroca - Moara,,45.1156662,26.9545102,3
BZR17,Dambroca - Centrala,,45.11799642994011,26.951340543668802,3
BZR18,Dambroca - Crizantemelor,,45.1196354,26.9480201,3
BZR2,Robeasca - Teren De Sport,,45.1529757,27.1425553,7
BZR26,Robeasca - Primarie,,45.160400835070654,27.143712780163973,7
BZR27,Robeasca - S.M.A,,45.15440886350407,27.141968819266207,7
BZR3,Mosesti - Rapiteanu,,45.1202738,27.148146,7
BZR4,Mosesti - Buduleasca,,45.1202394,27.1481777,7
BZR5,Banita Centru,,45.1010094,27.1023515,6
BZR6,Movilita,,45.0998942,27.0772169,6
BZR7,Gavanesti - Moara,,45.0921834,27.068997,5
BZR8,Gavanesti - Centru,,45.0888044,27.064954,5
BZR9,Gavanesti - Enus,,45.0892901,27.0593733,5
BZS3,Sasenii Noi - Magazin,,45.2015664,26.6984136,4
BZS4,Sasenii Vechi - Troita,,45.2169837,26.6840839,4
ID1301,G. Bastan,,45.15152514054913,26.800162188411882,1
ID1501,Stalpu,,45.07749732000626,26.708544495755763,3
