stop_id,stop_name,stop_lat,stop_lon
s0137,Deduleşti,45.470026,26.967374
s0138,Degeraţi,44.996580,26.859047
s0139,Dimiana,45.399268,26.760269
s0140,Dogari,45.412845,26.756333
s0141,Dulbanu,45.253006,26.704486
s0142,Finţeşti,45.088153,26.464347
s0143,Fișici,45.402270,26.467677
s0144,Florica 1,44.917280,26.688928
s0145,Florica 2,44.917280,26.688928
s0146,Fudeni sere,45.304598,26.879350
s0147,Fulga,45.337503,26.770961
s0148,Fundeni,45.291411,26.880282
s0149,Fundeni Poliție,45.295795,26.879859
s0150,Furtuneşti,45.462080,26.403532
s0151,Fântânele,45.422013,26.849171
s0152,Ghergheasa Biserică,45.274462,27.205439
s0153,Ghergheasa Cap Traseu,45.272410,27.206540
s0154,Gherăseni,45.025251,26.791595
s0155,Glodeanu Siliştea,44.881458,26.687277
s0156,Glodeanu Sărat,44.881458,26.687277
s0157,Glodu Petcari,45.454004,26.627108
s0158,Goidești,45.467414,26.504686
s0159,Golul Grabicina,45.404756,26.697562
s0160,Golul Grabicina Cap traseu,45.404756,26.697562
s0161,Grebănu,45.376451,26.982475
s0162,Greceanca 2,45.083565,26.538483
s0163,Greceanca Biserică,45.075938,26.544890
s0164,Grunji ramificaţie,45.489063,26.640966
s0165,Gura Bâscei,45.257337,26.359731
s0166,Gura Bădicului,45.511317,26.629951
s0167,Gura Teghii,45.484549,26.421704
s0168,Gura Ulmet,45.356259,26.471148
s0169,Gura Văii,45.378576,26.663662
s0170,Gura Văii Cruce,45.376091,26.666204
s0171,Gägeni,45.014817,26.585915
s0172,Gălbinaşi,45.079229,26.939516
s0173,Heliade Rădulescu,45.291514,27.120575
s0174,Hotar Pietroasele - Clondiru de Sus,45.097087,26.587143
s0175,Ileana,44.881458,26.687277
s0176,Istriţa de Jos,45.053717,26.566568
s0177,Istriţa jos,45.053717,26.566568
s0178,Ivanețu,45.462267,26.491784
s0179,Izvoru Dulce,45.111530,26.632123
s0180,Izvoru Dulce 1,45.342924,26.767998
s0181,Izvoru Dulce 2,45.345383,26.766853
s0182,Izvoru Dulce 3,45.353303,26.768228
s0183,Izvorul Perilor,45.253487,26.285960
s0184,Jghiab,45.523969,26.638947
s0185,Joseni,45.326018,26.659896
s0186,Jurubești,45.482941,26.596500
s0187,Lacu,45.403435,26.529623
s0188,Lacu Sinaia,45.366813,26.663501
s0189,Lacuri ramificaţie,45.541352,26.680673
s0190,Lanuri,45.272950,27.088838
s0191,Lanuri ramificaţie,45.278253,27.088661
s0192,Largu 1,45.200096,26.771629
s0193,Largu 2,45.209379,26.759967
s0194,Largu 3,45.218207,26.751818
s0195,Lera,45.332293,26.231610
s0196,Limpeziş,44.953462,26.701968
s0197,Lipănescu Ramificație,44.918215,26.986168
s0198,Livada,45.381824,26.947642
s0199,Livada Mică,45.390321,26.921722
s0200,Lopătari,45.483231,26.592515
s0201,Luciu Moară,45.144406,26.842205
s0202,Luciu Parc,45.157846,26.816981
s0203,Luciu Primărie,45.152197,26.831975
s0204,Lunca,45.295068,26.357359
s0205,Lunca Frumoasă 1,45.302271,26.534779
s0206,Lunca Frumoasă 2,45.302271,26.534779
s0207,Lunca Jarștei 1,45.443405,26.305319
s0208,Lunca Jarștei 2,45.443405,26.305319
s0209,Lunca Petrişorului,45.278160,26.900967
s0210,Lunca Priporului - Școală,45.438003,26.307461
s0211,Luncaşi,45.191381,26.850153
s0212,Luncile,45.496327,26.544282
s0213,Maxenu,45.050905,26.855816
s0214,Merei Consiliul Local,45.131612,26.674788
s0215,Merei moară,45.124632,26.686446
s0216,Mihăileşti,44.917280,26.688928
s0217,Mihăileşti Cl. Local,44.917280,26.688928
s0218,Mitropolia,44.996580,26.859047
s0219,Moara Enica,45.281510,26.256133
s0220,Mocani,45.382319,26.889113
s0221,Moisica,44.996020,26.889564
s0222,Motohani,45.142954,26.818570
s0223,Movila Banului 1,44.989407,26.689238
s0224,Movila Banului 2,44.985287,26.685913
s0225,Movila Banului 3,44.974244,26.681875
s0226,Mucești Dănulești,45.521605,26.929333
s0227,Mucești Dănulești Cap traseu,45.521605,26.929333
s0228,Murgeşti 2,45.384692,26.888521
s0229,Murgeşti 3,45.395277,26.886675
s0230,Murgești 1,45.376488,26.889990
s0231,Mânzu,45.062116,27.043686
s0232,Mânzăleşti,45.486876,26.657490
s0233,Măgura 1,45.279529,26.600130
s0234,Măgura 2,45.280013,26.583861
s0235,Mărgineanu,44.917280,26.688928
s0236,Mărgăriteşti,45.431831,26.838663
s0237,Mărgăriţi,45.392184,26.759261
s0238,Mărunţişu,45.286099,26.354208
s0239,Mărăcineni,45.176857,26.824638
s0240,Mărăcineni ramificaţie,45.179660,26.817318
s0241,Măteşti,45.213393,26.756067
s0242,Măteşti pod,45.207111,26.762894
s0243,Negoşina,45.377575,26.610948
